Player,Batting_Runs,Batting_Avg,Batting_SR,Batting_100,Batting_50,Batting_4s,Batting_6s,Bowling_Mat,Bowling_Inns,Bowling_Wkts,Bowling_Avg,Bowling_Econ,Bowling_SR
Suresh Raina,1829,29.5,130.92,0,14,185,53,14,6,1,102.0,8.5,72.0
Yusuf Pathan,804,32.16,132.24,0,4,65,31,45,9,3,9.78,2.44,8.0
Dwayne Smith,563,25.59,149.34,0,5,67,24,24,17,10,15.05,4.85,9.3
Krunal Pandya,1326,22.47,136.7,0,1,121,50,98,93,61,4.77,1.05,3.91
Yuvraj Singh,651,23.25,129.17,0,3,65,29,12,2,1,22.0,11.0,12.0
Chris Gayle,1766,31.54,141.51,1,13,143,127,10,4,2,31.5,6.3,30.0
Kieron Pollard,1661,28.15,146.09,0,8,98,114,41,26,13,10.51,2.85,7.38
Chris Morris,528,22.0,157.14,0,2,38,30,54,54,67,3.94,1.36,2.9
JP Duminy,227,37.83,115.82,0,0,16,4,10,5,2,27.5,7.85,21.0
Ravindra Jadeja,1119,31.97,132.9,0,2,84,41,99,95,63,5.03,1.09,3.96
Andre Russell,1649,31.71,177.89,0,7,99,153,76,67,73,3.59,1.55,2.32
Moises Henriques,490,24.5,124.68,0,3,43,11,34,34,17,13.88,2.74,10.12
Glenn Maxwell,1580,25.9,148.64,0,9,135,79,67,41,24,6.05,1.51,4.8
Shane Watson,1502,25.03,132.92,2,7,139,81,39,35,31,10.55,2.95,7.16
Thisara Perera,150,21.43,161.29,0,0,7,11,12,11,9,36.22,9.82,22.11
Marcus Stoinis,1070,26.1,137.36,0,4,83,48,67,50,34,4.4,1.4,2.7
Deepak Hooda,1085,20.87,129.01,0,6,71,45,65,20,9,7.53,1.74,5.2
Sachin Baby,141,15.67,127.03,0,0,11,5,11,2,2,4.0,4.8,5.0
Shakib Al Hasan,410,18.64,113.26,0,1,36,11,38,37,25,9.81,1.96,7.5
Gurkeerat Mann Singh,282,35.25,119.49,0,2,30,5,7,3,2,15.5,7.75,12.0
Axar Patel,867,19.7,134.0,0,0,48,45,91,90,71,4.6,1.04,3.78
Nitish Rana,2181,28.32,134.22,0,15,190,111,29,11,7,8.29,4.14,6.0
Dwayne Bravo,397,18.05,138.33,0,1,29,19,70,70,78,4.49,1.47,3.05
Harbhajan Singh,142,15.78,99.3,0,0,14,4,49,48,40,7.75,1.87,6.22
Carlos Brathwaite,181,13.92,163.06,0,0,10,16,14,14,13,8.87,2.96,6.0
James Faulkner,131,18.71,112.93,0,0,11,0,15,15,8,26.56,4.94,16.12
Ben Cutting,230,23.0,170.37,0,0,15,18,20,16,9,11.06,2.37,7.0
Stuart Binny,255,15.94,131.44,0,0,18,13,30,20,6,12.67,2.53,10.0
Pawan Negi,213,13.31,113.9,0,0,13,10,29,23,21,5.14,1.93,4.0
Travis Head,205,29.29,138.51,0,1,12,8,7,5,2,40.5,10.12,24.0
Bipul Sharma,82,27.33,167.35,0,0,3,6,14,13,6,20.83,4.17,15.0
Ashish Reddy,47,23.5,162.07,0,0,2,4,4,2,1,39.0,10.17,23.0
Hardik Pandya,1851,30.85,145.98,0,7,137,102,72,62,49,5.55,1.74,3.83
Bhuvneshwar Kumar,130,7.65,104.84,0,0,14,1,87,87,92,3.87,1.07,3.08
Ravichandran Ashwin,457,16.32,131.32,0,1,32,20,87,87,67,5.86,1.26,4.64
Iqbal Abdulla,42,0,123.53,0,0,4,1,10,10,8,16.75,4.47,11.25
Karn Sharma,85,14.17,119.72,0,0,8,3,21,20,23,5.45,2.05,3.98
Rajat Bhatia,50,25.0,135.14,0,0,1,3,13,13,8,18.69,3.65,15.38
Mitchell McClenaghan,72,6.0,112.5,0,0,5,5,44,44,53,6.68,2.15,4.67
Mohit Sharma,93,8.45,102.2,0,0,7,2,39,39,35,6.92,1.88,4.42
Tim Southee,103,9.36,109.57,0,0,6,4,37,37,35,5.59,1.42,3.94
Praveen Kumar,36,7.2,100.0,0,0,4,0,22,22,15,18.4,4.12,13.4
Piyush Chawla,98,8.17,93.33,0,0,9,3,54,53,48,5.18,1.44,3.6
Rajagopal Sathish,24,8.0,100.0,0,0,1,1,4,3,1,59.0,9.83,36.0
Dhawal Kulkarni,38,9.5,131.03,0,0,3,0,38,38,31,8.55,2.15,5.95
Jason Holder,231,12.83,122.87,0,0,11,16,31,31,46,5.29,2.13,3.73
Pradeep Sahu,19,19.0,146.15,0,0,1,1,5,5,3,48.66,8.34,35.0
Albie Morkel,16,16.0,177.78,0,0,0,2,2,2,2,33.0,13.2,15.0
Rishi Dhawan,51,25.5,110.87,0,0,4,3,8,8,8,13.25,4.08,9.75
Vinay Kumar,19,19.0,126.67,0,0,1,1,6,6,7,7.62,3.33,4.57
KC Cariappa,24,8.0,114.29,0,0,0,2,9,9,7,20.43,4.47,13.71
Kyle Abbott,13,13.0,162.5,0,0,0,1,5,5,2,88.5,11.06,48.0
Parveez Rasool,10,10.0,111.11,0,0,1,0,4,4,1,129.0,9.21,84.0
Nathan Coulter-Nile,53,8.83,110.42,0,0,5,2,24,24,30,5.62,1.9,4.45
Umesh Yadav,102,8.5,106.25,0,0,7,6,60,60,71,4.99,1.66,3.6
Jasprit Bumrah,55,11.0,100.0,0,0,4,1,103,103,134,3.01,1.02,2.52
Sandeep Sharma,41,8.2,93.18,0,0,3,0,75,75,75,4.15,1.12,3.19
Mitchell Marsh,258,25.8,128.36,0,2,19,14,11,7,8,9.19,3.5,7.88
Pravin Tambe,7,0,36.84,0,0,1,0,7,7,5,28.6,8.93,19.2
Sunil Narine,985,15.63,167.23,0,4,110,61,93,92,78,4.59,1.0,3.92
Jayant Yadav,40,10.0,111.11,0,0,2,1,14,14,6,14.5,1.81,12.0
Zaheer Khan,10,3.33,38.46,0,0,1,0,23,23,20,16.25,3.92,12.45
Mitchell Johnson,41,20.5,97.62,0,0,3,1,14,14,11,14.03,2.97,9.45
Imran Tahir,20,20.0,95.24,0,0,3,0,43,43,58,3.5,1.25,2.79
Amit Mishra,75,15.0,81.52,0,0,4,2,56,56,55,4.25,1.26,3.38
Barinder Sran,10,10.0,71.43,0,0,0,0,20,20,18,17.83,4.52,11.83
Ankit Sharma,28,28.0,155.56,0,0,2,1,3,3,1,84.0,7.63,66.0
Chris Jordan,75,9.38,115.38,0,0,3,3,26,26,26,7.62,2.37,4.82
Shreyas Gopal,168,12.92,106.33,0,0,18,2,40,39,42,6.21,1.98,4.71
Mohammad Shami,61,7.62,108.93,0,0,5,2,78,78,91,3.84,1.22,2.68
Dale Steyn,2,2.0,50.0,0,0,0,0,5,5,5,20.2,5.32,11.4
Kane Richardson,1,0,100.0,0,0,0,0,5,5,8,10.31,4.85,6.38
Shahbaz Nadeem,16,3.2,51.61,0,0,1,0,28,28,19,6.24,1.43,4.37
Shadab Jakati,1,0,50.0,0,0,0,0,6,6,2,89.0,8.9,60.0
Ashish Nehra,1,0,100.0,0,0,0,0,14,14,17,11.65,4.21,8.29
Morne Morkel,1,0,100.0,0,0,0,0,10,10,10,29.7,8.36,21.3
Swapnil Singh,12,4.0,60.0,0,0,0,0,4,4,1,61.0,8.71,42.0
Adam Zampa,5,2.5,62.5,0,0,1,0,14,14,21,5.87,2.57,4.57
Shivil Kaushik,0,0.0,0.0,0,0,0,0,7,7,6,32.0,8.34,23.0
Murugan Ashwin,35,3.89,70.0,0,0,2,1,42,42,35,5.28,1.32,4.0
Ben Stokes,920,25.56,134.5,2,2,79,32,42,36,28,8.59,2.13,6.05
Corey Anderson,159,15.9,109.66,0,0,8,10,14,11,6,25.08,5.57,13.5
Colin de Grandhomme,303,18.94,134.67,0,0,18,18,21,16,6,22.0,4.26,15.5
Vijay Shankar,731,23.58,122.04,0,3,46,28,42,19,9,8.61,2.09,6.17
Dan Christian,119,9.15,112.26,0,0,6,6,26,26,19,9.72,2.72,7.16
Pat Cummins,379,19.95,153.44,0,3,24,26,38,38,43,7.16,2.13,5.04
Kagiso Rabada,186,11.62,105.08,0,0,16,6,63,63,99,3.97,1.66,2.87
Andrew Tye,91,10.11,119.74,0,0,6,5,30,30,42,4.66,1.72,3.26
Chris Woakes,78,13.0,101.3,0,0,7,2,21,21,30,7.31,3.0,4.87
Sreenath Aravind,32,8.0,80.0,0,0,2,0,19,19,16,15.34,4.16,11.06
Basil Thampi,32,32.0,91.43,0,0,1,1,22,22,22,8.36,2.49,5.05
Aniket Choudhary,25,25.0,125.0,0,0,1,1,5,5,5,28.8,8.55,20.2
Kuldeep Yadav,105,15.0,82.68,0,0,8,2,59,57,61,4.52,1.39,3.25
Rahul Tewatia,722,25.79,130.56,0,1,57,34,44,41,29,6.41,1.55,4.97
Anureet Singh,18,18.0,112.5,0,0,2,0,3,3,1,42.0,10.5,24.0
Deepak Chahar,79,11.29,138.6,0,0,2,6,61,61,59,5.7,1.56,4.37
Samuel Badree,13,2.6,56.52,0,0,0,0,7,7,9,20.88,7.52,16.66
Yuzvendra Chahal,35,5.0,41.67,0,0,0,0,101,101,131,3.04,1.08,2.41
Rashid Khan,313,11.18,151.94,0,0,20,22,92,92,112,3.47,1.06,3.26
Washington Sundar,318,13.83,120.45,0,0,26,9,51,49,33,5.59,1.2,4.64
Tymal Mills,8,2.67,72.73,0,0,0,1,10,10,11,15.59,4.9,9.55
Ishant Sharma,18,9.0,120.0,0,0,2,1,20,20,17,11.65,2.71,8.59
Ashok Dinda,7,7.0,100.0,0,0,1,0,12,12,12,14.58,4.38,10.0
Adam Milne,23,5.75,79.31,0,0,0,1,9,9,7,14.67,3.21,9.14
Ankit Soni,7,3.5,77.78,0,0,0,1,7,6,2,72.0,7.92,54.5
Lasith Malinga,7,0,233.33,0,0,0,1,24,24,27,15.19,4.56,10.0
Trent Boult,53,10.6,110.42,0,0,2,2,71,71,83,3.85,1.19,2.78
Ankit Rajpoot,24,4.8,68.57,0,0,2,1,27,27,23,6.77,1.85,4.38
Varun Aaron,8,4.0,29.63,0,0,0,0,21,21,15,9.3,2.33,6.0
Rahul Chahar,108,8.31,108.0,0,0,10,4,55,54,57,5.18,1.5,4.13
Mohammad Nabi,180,15.0,151.26,0,0,16,9,16,16,13,7.4,1.82,6.12
Pradeep Sangwan,4,1.0,30.77,0,0,0,0,8,8,8,15.38,4.56,10.12
Jaydev Unadkat,161,14.64,128.8,0,0,13,6,56,56,59,5.06,1.51,3.36
Lockie Ferguson,67,33.5,148.89,0,0,6,2,35,35,36,5.97,1.69,4.25
Munaf Patel,0,0.0,0.0,0,0,0,0,2,2,1,57.0,8.14,42.0
Siddarth Kaul,11,2.75,44.0,0,0,1,0,43,43,52,5.38,1.73,3.74
Shardul Thakur,166,10.38,129.69,0,0,11,8,74,73,81,4.74,1.51,3.14
Krishnappa Gowtham,186,14.31,169.09,0,0,13,12,28,28,18,9.18,2.07,6.67
D'Arcy Short,115,16.43,116.16,0,0,11,5,7,2,1,19.0,6.33,18.0
Moeen Ali,910,23.33,143.99,0,5,76,53,44,37,24,5.22,1.37,4.58
Abhishek Sharma,667,23.82,135.29,0,2,64,25,19,14,7,8.38,2.67,6.29
Harshal Patel,183,14.08,127.08,0,0,13,10,48,48,67,3.06,1.23,2.14
Mohammed Siraj,96,13.71,88.07,0,0,10,2,65,65,59,5.51,1.46,3.76
Tom Curran,127,25.4,118.69,0,1,10,3,13,13,13,11.03,3.68,6.0
Mayank Markande,27,9.0,93.1,0,0,3,0,19,19,17,9.49,2.83,6.71
Mahipal Lomror,267,20.54,128.37,0,0,15,13,4,4,1,47.0,6.71,42.0
Jofra Archer,195,15.0,157.26,0,0,11,14,35,35,46,7.11,2.39,5.96
Shivam Mavi,51,5.67,91.07,0,0,4,2,32,32,30,7.85,2.18,5.4
Mujeeb Ur Rahman,12,4.0,80.0,0,0,2,0,17,17,19,8.93,2.65,6.74
Javon Searles,8,8.0,133.33,0,0,0,1,4,3,2,44.5,12.71,21.0
Billy Stanlake,5,0,250.0,0,0,1,0,6,6,7,14.29,4.17,10.29
Ish Sodhi,7,3.5,41.18,0,0,0,0,8,8,9,11.22,3.37,10.0
Ben Laughlin,1,1.0,25.0,0,0,0,0,7,7,9,23.44,10.04,14.0
Liam Plunkett,1,1.0,33.33,0,0,0,0,7,7,4,56.25,9.0,37.5
Mustafizur Rahman,12,12.0,54.55,0,0,0,1,45,45,46,7.23,1.93,5.61
Prasidh Krishna,9,3.0,37.5,0,0,0,0,51,51,49,6.95,1.8,4.64
Riyan Parag,522,16.84,124.88,0,2,40,22,35,17,4,21.08,3.51,12.0
Sam Curran,337,22.47,149.78,0,2,30,18,32,31,32,10.36,3.07,6.75
Sherfane Rutherford,106,15.14,101.92,0,0,3,8,7,6,1,59.0,8.63,41.0
Liam Livingstone,550,27.5,167.17,0,4,38,40,14,12,6,33.66,8.78,23.0
Shivam Dube,688,24.57,133.33,0,3,46,38,11,5,4,18.25,8.11,13.5
Mitchell Santner,54,18.0,108.0,0,0,3,3,12,12,10,9.23,2.31,8.0
Harpreet Brar,106,35.33,111.58,0,0,6,5,12,12,9,15.83,3.65,13.0
Keemo Paul,18,3.6,75.0,0,0,1,1,8,8,9,26.33,8.72,18.11
Alzarri Joseph,20,20.0,100.0,0,0,2,0,12,12,13,13.5,4.62,8.77
Jagadeesha Suchith,22,7.33,75.86,0,0,2,1,6,6,9,9.33,3.82,7.33
Avesh Khan,31,31.0,163.16,0,0,2,3,36,36,47,5.81,2.08,4.19
Hardus Viljoen,3,1.5,42.86,0,0,0,0,6,6,7,31.71,9.65,19.71
Navdeep Saini,33,8.25,89.19,0,0,3,0,28,28,20,14.13,2.86,9.9
Harry Gurney,1,0,20.0,0,0,0,0,8,8,7,34.0,8.81,23.14
Prithvi Raj Yarra,0,0,0.0,0,0,0,0,2,2,1,57.0,11.4,30.0
Sandeep Lamichhane,0,0.0,0.0,0,0,0,0,9,9,13,11.23,4.17,8.08
Khaleel Ahmed,1,0.33,20.0,0,0,0,0,33,33,48,5.54,2.11,3.94
Abdul Samad,226,14.12,142.14,0,0,12,14,12,3,1,96.0,13.71,42.0
Kamlesh Nagarkoti,22,5.5,66.67,0,0,1,0,10,9,5,46.2,8.88,31.2
Tushar Deshpande,21,21.0,175.0,0,0,2,1,7,7,4,31.88,5.31,18.0
Jimmy Neesham,19,4.75,95.0,0,0,0,1,8,8,7,15.29,4.46,10.29
Isuru Udana,15,5.0,136.36,0,0,1,1,10,10,8,35.25,9.72,21.75
James Pattinson,15,15.0,115.38,0,0,2,0,10,10,11,29.09,9.01,19.36
Varun Chakaravarthy,24,8.0,64.86,0,0,2,0,42,42,42,6.97,1.81,5.79
Ravi Bishnoi,8,4.0,50.0,0,0,1,0,37,37,37,9.5,2.51,7.57
Anrich Nortje,8,8.0,66.67,0,0,0,0,30,30,43,7.1,2.7,5.27
Kartik Tyagi,13,3.25,81.25,0,0,1,0,16,16,14,13.57,3.17,8.57
T Natarajan,3,0,60.0,0,0,0,0,35,35,38,7.2,2.17,4.97
Shahbaz Ahmed,279,18.6,118.72,0,0,18,11,29,22,13,12.1,2.86,8.46
Daniel Sams,44,4.89,100.0,0,0,1,3,13,13,14,14.61,4.26,10.29
Sheldon Cottrell,0,0.0,0.0,0,0,0,0,6,6,6,29.33,8.8,20.0
Arshdeep Singh,23,5.75,65.71,0,0,3,0,37,37,40,6.59,2.09,4.72
Venkatesh Iyer,552,27.6,120.79,0,5,54,21,10,4,3,23.0,8.11,17.0
Aiden Markram,527,40.54,134.1,0,3,37,23,14,4,1,64.0,10.66,36.0
Lalit Yadav,229,25.44,104.57,0,0,18,7,19,13,8,15.69,3.92,12.0
Kyle Jamieson,65,16.25,118.18,0,0,5,3,9,9,9,29.88,9.6,18.66
Glenn Phillips,26,13.0,78.79,0,0,1,2,3,2,1,20.0,10.0,12.0
Nathan Ellis,18,18.0,112.5,0,0,0,1,5,5,4,19.12,4.25,13.5
Chetan Sakariya,16,3.2,64.0,0,0,2,0,17,17,17,15.0,4.05,11.12
Jhye Richardson,15,7.5,62.5,0,0,2,0,3,3,3,39.0,10.63,22.0
Fabian Allen,14,7.0,73.68,0,0,1,0,5,4,2,34.0,4.53,22.5
Tabraiz Shamsi,2,0,50.0,0,0,0,0,4,4,3,49.0,9.18,32.0
George Garton,2,2.0,50.0,0,0,0,0,5,5,3,45.0,9.0,30.0
Wanindu Hasaranga,39,4.88,86.67,0,0,4,1,16,16,26,16.53,7.54,13.15
Marco Jansen,9,3.0,90.0,0,0,0,1,10,10,9,17.72,4.2,12.67
Dewald Brevis,161,23.0,142.48,0,0,14,11,7,1,1,8.0,16.0,3.0
Ayush Badoni,161,20.12,123.85,0,1,11,7,13,2,2,5.5,5.5,6.0
Romario Shepherd,58,29.0,141.46,0,0,2,5,3,3,3,32.66,10.88,18.0
Odean Smith,51,17.0,115.91,0,0,1,5,6,6,6,29.66,11.86,15.0
Ramandeep Singh,45,22.5,112.5,0,0,3,1,5,3,6,9.0,9.0,6.0
Dwaine Pretorius,44,11.0,157.14,0,0,3,3,6,6,6,35.0,10.0,21.0
Dushmantha Chameera,43,10.75,153.57,0,0,3,3,12,12,9,42.66,8.72,29.33
Hrithik Shokeen,43,21.5,89.58,0,0,5,0,5,5,2,63.5,8.46,45.0
Mohsin Khan,23,23.0,143.75,0,0,2,1,9,9,14,14.07,5.96,14.14
Josh Hazlewood,18,0,69.23,0,0,1,0,24,24,32,7.65,2.68,5.71
David Willey,18,9.0,60.0,0,0,3,0,7,7,3,27.83,3.98,21.0
Obed McCoy,8,8.0,160.0,0,0,0,1,7,7,11,21.54,9.17,14.09
Sean Abbott,7,7.0,140.0,0,0,0,1,1,1,1,47.0,11.75,24.0
Maheesh Theekshana,7,7.0,100.0,0,0,0,1,9,9,12,21.75,7.45,17.5
Simarjeet Singh,7,7.0,87.5,0,0,0,0,6,6,4,34.5,7.66,27.0
Mukesh Choudhary,6,6.0,100.0,0,0,1,0,13,13,16,26.5,9.31,17.06
Vaibhav Arora,5,2.5,38.46,0,0,0,0,5,5,3,54.66,9.19,35.66
Umran Malik,4,4.0,50.0,0,0,0,0,17,17,24,11.25,4.42,7.64
Kumar Kartikeya Singh,3,3.0,60.0,0,0,0,0,4,4,5,20.4,7.84,15.6
Harshit Rana,2,2.0,100.0,0,0,0,0,2,2,1,51.0,10.2,30.0
Fazalhaq Farooqi,2,0,25.0,0,0,0,0,3,3,2,55.0,9.16,36.0
