Player,Seasons,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
Bhuvneshwar Kumar,7,87,87,331.1,2491,92,3.87,1.07,3.08,1,1
Yuzvendra Chahal,7,101,101,369.0,2789,131,3.04,1.08,2.41,3,1
Shane Watson,3,39,35,111.0,981,31,10.55,2.95,7.16,1,0
Dhawal Kulkarni,4,38,38,123.0,1060,31,8.55,2.15,5.95,1,0
Mitchell McClenaghan,4,44,44,165.0,1417,53,6.68,2.15,4.67,1,0
Dwayne Bravo,6,70,70,238.2,2099,78,4.49,1.47,3.05,1,0
Mustafizur Rahman,4,45,45,172.0,1331,46,7.23,1.93,5.61,0,0
Jasprit Bumrah,7,103,103,394.2,2823,134,3.01,1.02,2.52,2,1
Sandeep Sharma,7,75,75,279.0,2179,75,4.15,1.12,3.19,1,0
Andre Russell,6,76,67,169.1,1574,73,3.59,1.55,2.32,2,1
Barinder Sran,2,20,20,71.0,642,18,17.83,4.52,11.83,0,0
Axar Patel,7,91,90,313.0,2286,71,4.6,1.04,3.78,1,0
Mohit Sharma,5,39,39,129.0,1211,35,6.92,1.88,4.42,0,0
Chris Morris,6,54,54,194.0,1583,67,3.94,1.36,2.9,3,0
Amit Mishra,6,56,56,186.0,1402,55,4.25,1.26,3.38,2,0
Adam Zampa,3,14,14,48.0,370,21,5.87,2.57,4.57,0,1
Moises Henriques,3,34,34,86.0,708,17,13.88,2.74,10.12,0,0
Sreenath Aravind,2,19,19,59.0,491,16,15.34,4.16,11.06,0,0
Sunil Narine,7,93,92,357.0,2505,78,4.59,1.0,3.92,1,0
Ashok Dinda,2,12,12,40.0,350,12,14.58,4.38,10.0,0,0
Piyush Chawla,6,54,53,173.0,1492,48,5.18,1.44,3.6,0,0
Chris Jordan,4,26,26,83.5,793,26,7.62,2.37,4.82,1,0
Zaheer Khan,2,23,23,83.0,650,20,16.25,3.92,12.45,0,0
Morne Morkel,1,10,10,35.0,297,10,29.7,8.36,21.3,0,0
Umesh Yadav,5,60,60,213.0,1772,71,4.99,1.66,3.6,2,0
Ravichandran Ashwin,6,87,87,311.0,2354,67,5.86,1.26,4.64,1,0
Tim Southee,6,37,37,138.0,1174,35,5.59,1.42,3.94,0,0
Thisara Perera,1,12,11,33.0,326,9,36.22,9.82,22.11,0,0
Praveen Kumar,2,22,22,67.0,552,15,18.4,4.12,13.4,0,0
Ashish Nehra,2,14,14,47.0,396,17,11.65,4.21,8.29,0,0
Harbhajan Singh,4,49,48,166.0,1240,40,7.75,1.87,6.22,0,0
Dwayne Smith,2,24,17,31.0,301,10,15.05,4.85,9.3,1,0
Ravindra Jadeja,7,99,95,291.0,2218,63,5.03,1.09,3.96,0,0
Marcus Stoinis,7,67,50,107.0,1048,34,4.4,1.4,2.7,1,0
Kane Richardson,2,5,5,17.0,165,8,10.31,4.85,6.38,0,0
Carlos Brathwaite,3,14,14,39.0,346,13,8.87,2.96,6.0,0,0
Murugan Ashwin,6,42,42,140.0,1109,35,5.28,1.32,4.0,0,0
Shivil Kaushik,1,7,7,23.0,192,6,32.0,8.34,23.0,0,0
Krunal Pandya,7,98,93,278.0,2038,61,4.77,1.05,3.91,0,0
Kuldeep Yadav,6,59,57,198.4,1655,61,4.52,1.39,3.25,3,0
Iqbal Abdulla,2,10,10,30.0,268,8,16.75,4.47,11.25,0,0
Rajat Bhatia,2,13,13,41.0,299,8,18.69,3.65,15.38,0,0
Pravin Tambe,1,7,7,16.0,143,5,28.6,8.93,19.2,0,0
Shakib Al Hasan,4,38,37,125.0,981,25,9.81,1.96,7.5,0,0
Ben Cutting,4,20,16,42.0,398,9,11.06,2.37,7.0,0,0
Imran Tahir,6,43,43,162.0,1218,58,3.5,1.25,2.79,2,0
Mohammad Shami,7,78,78,285.0,2443,91,3.84,1.22,2.68,0,0
Brad Hogg,1,5,5,16.0,142,4,35.5,8.87,24.0,0,0
Mitchell Marsh,2,11,7,21.0,147,8,9.19,3.5,7.88,0,0
Bipul Sharma,2,14,13,30.0,250,6,20.83,4.17,15.0,0,0
Vinay Kumar,3,6,6,16.0,160,7,7.62,3.33,4.57,0,0
RP Singh,1,4,4,12.0,111,3,37.0,9.25,24.0,0,0
Ankit Rajpoot,5,27,27,84.0,779,23,6.77,1.85,4.38,0,1
Tabraiz Shamsi,1,4,4,16.0,147,3,49.0,9.18,32.0,0,0
Pradeep Sahu,1,5,5,17.0,146,3,48.66,8.34,35.0,0,0
Nathan Coulter-Nile,4,24,24,89.0,675,30,5.62,1.9,4.45,1,0
Hardik Pandya,5,72,62,156.3,1359,49,5.55,1.74,3.83,0,0
Ishant Sharma,3,20,20,73.0,594,17,11.65,2.71,8.59,0,0
Deepak Hooda,5,65,20,39.0,339,9,7.53,1.74,5.2,0,0
KC Cariappa,2,9,9,32.0,286,7,20.43,4.47,13.71,0,0
Scott Boland,1,2,2,7.0,54,2,27.0,7.71,21.0,0,0
James Faulkner,2,15,15,43.0,425,8,26.56,4.94,16.12,0,0
Jason Holder,4,31,31,114.3,974,46,5.29,2.13,3.73,1,0
Jayant Yadav,4,14,14,48.0,348,6,14.5,1.81,12.0,0,0
John Hastings,1,2,2,6.0,37,2,18.5,5.55,20.0,0,0
Varun Aaron,4,21,21,60.0,558,15,9.3,2.33,6.0,0,0
JP Duminy,1,10,5,7.0,55,2,27.5,7.85,21.0,0,0
Shahbaz Nadeem,6,28,28,83.0,711,19,6.24,1.43,4.37,0,0
Shadab Jakati,1,6,6,20.0,178,2,89.0,8.9,60.0,0,0
Sachin Baby,1,11,2,1.0,8,2,4.0,4.8,5.0,0,0
Kyle Abbott,1,5,5,16.0,177,2,88.5,11.06,48.0,0,0
Rishi Dhawan,2,8,8,26.0,212,8,13.25,4.08,9.75,0,0
Mitchell Johnson,3,14,14,52.0,463,11,14.03,2.97,9.45,0,0
Gurkeerat Mann Singh,1,7,3,4.0,31,2,15.5,7.75,12.0,0,0
Chris Gayle,1,10,4,10.0,63,2,31.5,6.3,30.0,0,0
Albie Morkel,1,2,2,5.0,66,2,33.0,13.2,15.0,0,0
Yusuf Pathan,3,45,9,12.0,88,3,9.78,2.44,8.0,0,0
Trent Boult,7,71,71,269.0,2239,83,3.85,1.19,2.78,1,0
Adam Milne,3,9,9,32.0,308,7,14.67,3.21,9.14,0,0
Ankit Sharma,1,3,3,11.0,84,1,84.0,7.63,66.0,0,0
Stuart Binny,3,30,20,30.0,228,6,12.67,2.53,10.0,0,0
Ashish Reddy,1,4,2,4.0,39,1,39.0,10.17,23.0,0,0
Rajagopal Sathish,1,4,3,6.0,59,1,59.0,9.83,36.0,0,0
Pawan Negi,4,29,23,56.0,432,21,5.14,1.93,4.0,0,0
Parveez Rasool,1,4,4,14.0,129,1,129.0,9.21,84.0,0,0
Harshal Patel,7,48,48,167.3,1437,67,3.06,1.23,2.14,2,1
Jaydev Unadkat,6,56,56,198.0,1792,59,5.06,1.51,3.36,0,1
Chris Woakes,3,21,21,73.0,658,30,7.31,3.0,4.87,0,0
Rashid Khan,6,92,92,365.5,2333,112,3.47,1.06,3.26,1,0
Siddarth Kaul,5,43,43,162.0,1400,52,5.38,1.73,3.74,1,0
Pat Cummins,4,38,38,144.5,1231,43,7.16,2.13,5.04,1,0
Karn Sharma,4,21,20,61.0,501,23,5.45,2.05,3.98,1,0
Ben Stokes,4,42,36,113.0,962,28,8.59,2.13,6.05,0,0
Andrew Tye,5,30,30,114.0,979,42,4.66,1.72,3.26,3,1
Shardul Thakur,6,74,73,254.2,2302,81,4.74,1.51,3.14,1,0
Dan Christian,3,26,26,68.0,554,19,9.72,2.72,7.16,0,0
Basil Thampi,4,22,22,74.0,736,22,8.36,2.49,5.05,0,0
Lasith Malinga,2,24,24,90.0,820,27,15.19,4.56,10.0,2,0
Mohammed Siraj,6,65,65,222.0,1951,59,5.51,1.46,3.76,1,0
Samuel Badree,1,7,7,25.0,188,9,20.88,7.52,16.66,1,0
Washington Sundar,6,51,49,153.0,1106,33,5.59,1.2,4.64,0,0
Glenn Maxwell,5,67,41,96.0,726,24,6.05,1.51,4.8,0,0
Kagiso Rabada,5,63,63,237.0,1966,99,3.97,1.66,2.87,6,0
Aniket Choudhary,1,5,5,17.0,144,5,28.8,8.55,20.2,0,0
Pradeep Sangwan,2,8,8,27.0,246,8,15.38,4.56,10.12,0,0
Tymal Mills,2,10,10,35.0,343,11,15.59,4.9,9.55,0,0
Colin de Grandhomme,2,21,16,31.0,264,6,22.0,4.26,15.5,0,0
Lockie Ferguson,5,35,35,127.4,1075,36,5.97,1.69,4.25,1,0
Rahul Tewatia,5,44,41,120.0,930,29,6.41,1.55,4.97,0,0
Corey Anderson,2,14,11,27.0,301,6,25.08,5.57,13.5,0,0
Ankit Soni,1,7,6,18.0,144,2,72.0,7.92,54.5,0,0
Mohammad Nabi,4,16,16,53.0,385,13,7.4,1.82,6.12,1,0
Travis Head,1,7,5,8.0,81,2,40.5,10.12,24.0,0,0
T Natarajan,4,35,35,126.0,1094,38,7.2,2.17,4.97,0,0
Rahul Chahar,5,55,54,196.4,1477,57,5.18,1.5,4.13,1,0
Billy Stanlake,2,6,6,24.0,200,7,14.29,4.17,10.29,0,0
Nathu Singh,1,2,2,4.0,15,1,15.0,3.75,24.0,0,0
Matt Henry,1,2,2,5.0,71,1,71.0,14.2,30.0,0,0
Yuvraj Singh,1,12,2,2.0,22,1,22.0,11.0,12.0,0,0
Deepak Chahar,5,61,61,215.0,1681,59,5.7,1.56,4.37,2,0
Munaf Patel,1,2,2,7.0,57,1,57.0,8.14,42.0,0,0
Shubham Agarwal,1,1,1,4.0,42,1,42.0,10.5,24.0,0,0
Swapnil Singh,1,4,4,7.0,61,1,61.0,8.71,42.0,0,0
Suresh Raina,1,14,6,12.0,102,1,102.0,8.5,72.0,0,0
Avesh Khan,4,36,36,131.4,1093,47,5.81,2.08,4.19,1,0
Jofra Archer,3,35,35,137.0,981,46,7.11,2.39,5.96,0,0
Mayank Markande,3,19,19,57.0,484,17,9.49,2.83,6.71,1,0
Mujeeb Ur Rahman,3,17,17,64.0,509,19,8.93,2.65,6.74,0,0
Lungi Ngidi,3,14,14,54.0,448,25,5.97,2.77,4.32,1,0
Krishnappa Gowtham,4,28,28,80.0,661,18,9.18,2.07,6.67,0,0
Shreyas Gopal,4,40,39,132.0,1044,42,6.21,1.98,4.71,1,0
Prasidh Krishna,5,51,51,189.3,1703,49,6.95,1.8,4.64,1,0
Ben Laughlin,1,7,7,21.0,211,9,23.44,10.04,14.0,0,0
Tom Curran,3,13,13,39.0,430,13,11.03,3.68,6.0,0,0
Sandeep Lamichhane,2,9,9,35.0,292,13,11.23,4.17,8.08,0,0
Shivam Mavi,4,32,32,108.0,942,30,7.85,2.18,5.4,1,0
Ish Sodhi,2,8,8,30.0,202,9,11.22,3.37,10.0,0,0
Nitish Rana,2,29,11,14.0,116,7,8.29,4.14,6.0,0,0
Liam Plunkett,1,7,7,25.0,225,4,56.25,9.0,37.5,0,0
KM Asif,2,3,3,8.0,93,4,11.62,5.81,6.0,0,0
Moeen Ali,5,44,37,91.5,627,24,5.22,1.37,4.58,0,0
David Willey,2,7,7,21.0,167,3,27.83,3.98,21.0,0,0
Kulwant Khejroliya,2,5,5,16.0,154,3,25.67,4.81,16.0,0,0
Javon Searles,1,4,3,7.0,89,2,44.5,12.71,21.0,0,0
D'Arcy Short,1,7,2,3.0,19,1,19.0,6.33,18.0,0,0
Anureet Singh,1,3,3,4.0,42,1,42.0,10.5,24.0,0,0
Vijay Shankar,4,42,19,37.0,310,9,8.61,2.09,6.17,0,0
Khaleel Ahmed,4,33,33,126.1,1063,48,5.54,2.11,3.94,0,0
Navdeep Saini,3,28,28,99.0,848,20,14.13,2.86,9.9,0,0
Sam Curran,3,32,31,108.0,995,32,10.36,3.07,6.75,1,0
Keemo Paul,1,8,8,27.0,237,9,26.33,8.72,18.11,0,0
Harry Gurney,1,8,8,27.0,238,7,34.0,8.81,23.14,0,0
Hardus Viljoen,1,6,6,23.0,222,7,31.71,9.65,19.71,0,0
Alzarri Joseph,2,12,12,38.0,351,13,13.5,4.62,8.77,0,1
Jason Behrendorff,1,5,5,19.0,165,5,33.0,8.68,22.8,0,0
Oshane Thomas,1,4,4,10.0,79,5,15.8,7.9,12.0,0,0
Dale Steyn,2,5,5,19.0,202,5,20.2,5.32,11.4,0,0
Mitchell Santner,3,12,12,40.0,277,10,9.23,2.31,8.0,0,0
Arshdeep Singh,4,37,37,126.0,1054,40,6.59,2.09,4.72,0,1
Scott Kuggeleijn,1,2,2,8.0,71,2,35.5,8.87,24.0,0,0
Sandeep Warrier,1,3,3,12.0,85,2,42.5,7.08,36.0,0,0
Riyan Parag,3,35,17,24.0,253,4,21.08,3.51,12.0,0,0
Jagadeesha Suchith,2,6,6,22.0,168,9,9.33,3.82,7.33,0,0
Abhishek Sharma,3,19,14,22.0,176,7,8.38,2.67,6.29,0,0
Varun Chakaravarthy,4,42,42,162.0,1171,42,6.97,1.81,5.79,0,1
Anukul Roy,2,3,3,9.0,66,2,16.5,3.67,13.5,0,0
Sherfane Rutherford,1,7,6,7.0,59,1,59.0,8.63,41.0,0,0
Prithvi Raj Yarra,1,2,2,5.0,57,1,57.0,11.4,30.0,0,0
Anrich Nortje,3,30,30,113.2,916,43,7.1,2.7,5.27,0,0
Ravi Bishnoi,3,37,37,140.0,1054,37,9.5,2.51,7.57,0,0
James Pattinson,1,10,10,35.0,320,11,29.09,9.01,19.36,0,0
Kartik Tyagi,3,16,16,60.0,570,14,13.57,3.17,8.57,0,0
Isuru Udana,1,10,10,29.0,282,8,35.25,9.72,21.75,0,0
Sheldon Cottrell,1,6,6,20.0,176,6,29.33,8.8,20.0,0,0
Kamlesh Nagarkoti,1,10,9,26.0,231,5,46.2,8.88,31.2,0,0
Shivam Dube,1,11,5,9.0,73,4,18.25,8.11,13.5,0,0
Kieron Pollard,3,41,26,48.0,410,13,10.51,2.85,7.38,0,0
Tushar Deshpande,2,7,7,24.0,255,4,31.88,5.31,18.0,0,0
Shahbaz Ahmed,3,29,22,55.0,472,13,12.1,2.86,8.46,0,0
Jimmy Neesham,2,8,8,24.0,214,7,15.29,4.46,10.29,0,0
Josh Hazlewood,3,24,24,91.3,734,32,7.65,2.68,5.71,1,0
Abdul Samad,1,12,3,7.0,96,1,96.0,13.71,42.0,0,0
Chetan Sakariya,2,17,17,63.0,510,17,15.0,4.05,11.12,0,0
Kyle Jamieson,1,9,9,28.0,269,9,29.88,9.6,18.66,0,0
Harpreet Brar,2,12,12,39.0,285,9,15.83,3.65,13.0,0,0
Lalit Yadav,2,19,13,32.0,251,8,15.69,3.92,12.0,0,0
Riley Meredith,2,13,13,45.0,405,12,16.88,4.5,11.25,0,0
Venkatesh Iyer,1,10,4,8.0,69,3,23.0,8.11,17.0,0,0
Jhye Richardson,1,3,3,11.0,117,3,39.0,10.63,22.0,0,0
George Garton,1,5,5,15.0,135,3,45.0,9.0,30.0,0,0
Umran Malik,2,17,17,61.1,540,24,11.25,4.42,7.64,1,1
Marco Jansen,2,10,10,38.0,319,9,17.72,4.2,12.67,0,0
Fabian Allen,2,5,4,15.0,136,2,34.0,4.53,22.5,0,0
Glenn Phillips,1,3,2,2.0,20,1,20.0,10.0,12.0,0,0
Ishan Porel,1,1,1,4.0,39,1,39.0,9.75,24.0,0,0
Daniel Sams,2,13,13,48.0,409,14,14.61,4.26,10.29,1,0
Lukman Meriwala,1,1,1,3.0,32,1,32.0,10.66,18.0,0,0
Mahipal Lomror,1,4,4,7.0,47,1,47.0,6.71,42.0,0,0
Nathan Ellis,2,5,5,18.0,153,4,19.12,4.25,13.5,0,0
Wanindu Hasaranga,1,16,16,57.0,430,26,16.53,7.54,13.15,1,1
Mukesh Choudhary,1,13,13,45.3,424,16,26.5,9.31,17.06,1,0
Mohsin Khan,1,9,9,33.0,197,14,14.07,5.96,14.14,1,0
Maheesh Theekshana,1,9,9,35.0,261,12,21.75,7.45,17.5,1,0
Obed McCoy,1,7,7,25.5,237,11,21.54,9.17,14.09,0,0
Yash Dayal,1,9,9,32.0,296,11,26.9,9.25,17.45,0,0
Dushmantha Chameera,1,12,12,44.0,384,9,42.66,8.72,29.33,0,0
Kuldeep Sen,1,7,7,25.1,237,8,29.62,9.41,18.87,1,0
Sai Kishore,1,5,5,16.0,121,6,20.16,7.56,16.0,0,0
Liam Livingstone,1,14,12,23.0,202,6,33.66,8.78,23.0,0,0
Ramandeep Singh,1,5,3,6.0,54,6,9.0,9.0,6.0,0,0
Dwaine Pretorius,1,6,6,21.0,210,6,35.0,10.0,21.0,0,0
Odean Smith,1,6,6,15.0,178,6,29.66,11.86,15.0,1,0
Kumar Kartikeya Singh,1,4,4,13.0,102,5,20.4,7.84,15.6,0,0
Akash Deep,1,5,5,18.5,205,5,41.0,10.88,22.6,0,0
Simarjeet Singh,1,6,6,18.0,138,4,34.5,7.66,27.0,0,0
Vaibhav Arora,1,5,5,17.5,164,3,54.66,9.19,35.66,0,0
Romario Shepherd,1,3,3,9.0,98,3,32.66,10.88,18.0,0,0
Ayush Badoni,1,13,2,2.0,11,2,5.5,5.5,6.0,0,0
Prashant Solanki,1,2,2,6.0,38,2,19.0,6.33,18.0,0,0
Matheesha Pathirana,1,2,2,6.5,52,2,26.0,7.6,20.5,0,0
Hrithik Shokeen,1,5,5,15.0,127,2,63.5,8.46,45.0,0,0
Fazalhaq Farooqi,1,3,3,12.0,110,2,55.0,9.16,36.0,0,0
Darshan Nalkande,1,2,2,5.1,59,2,29.5,11.41,15.5,0,0
Harshit Rana,1,2,2,5.0,51,1,51.0,10.2,30.0,0,0
Aiden Markram,1,14,4,6.0,64,1,64.0,10.66,36.0,0,0
Sean Abbott,1,1,1,4.0,47,1,47.0,11.75,24.0,0,0
Dewald Brevis,1,7,1,0.3,8,1,8.0,16.0,3.0,0,0
